class,x1,y1,z1,v1,x2,y2,z2,v2,x3,y3,z3,v3,x4,y4,z4,v4,x5,y5,z5,v5,x6,y6,z6,v6,x7,y7,z7,v7,x8,y8,z8,v8,x9,y9,z9,v9,x10,y10,z10,v10,x11,y11,z11,v11,x12,y12,z12,v12,x13,y13,z13,v13,x14,y14,z14,v14,x15,y15,z15,v15,x16,y16,z16,v16,x17,y17,z17,v17,x18,y18,z18,v18,x19,y19,z19,v19,x20,y20,z20,v20,x21,y21,z21,v21,x22,y22,z22,v22,x23,y23,z23,v23,x24,y24,z24,v24,x25,y25,z25,v25,x26,y26,z26,v26,x27,y27,z27,v27,x28,y28,z28,v28,x29,y29,z29,v29,x30,y30,z30,v30,x31,y31,z31,v31,x32,y32,z32,v32,x33,y33,z33,v33
T Pose,0.493634164,0.258952141,-0.735097229,0.999921799,0.500806689,0.24613741,-0.721730232,0.999933958,0.504352748,0.245112896,-0.721685112,0.999890447,0.508141339,0.244111449,-0.72181195,0.999884367,0.491482168,0.248108521,-0.72050339,0.99994266,0.489114672,0.248643056,-0.72059834,0.99990201,0.486760676,0.249158293,-0.720554531,0.99992764,0.513215363,0.246844053,-0.593053877,0.999517441,0.488402367,0.254562736,-0.591400981,0.999862432,0.504680097,0.270572871,-0.682142675,0.997979462,0.491568089,0.272544533,-0.682042301,0.999322295,0.508230627,0.290885031,-0.507852554,0.973558009,0.47816062,0.303248942,-0.437492698,0.993767858,0.438248873,0.320484847,-0.618236005,0.950173974,0.40206629,0.334097683,-0.458160341,0.512715816,0.359208435,0.314392388,-0.725688994,0.909499705,0.332772613,0.359939396,-0.53858602,0.602175355,0.341614664,0.316209406,-0.783691287,0.855678141,0.313016623,0.362935334,-0.577677131,0.575554609,0.340445966,0.31329006,-0.778613567,0.843725741,0.315654099,0.361736864,-0.598637879,0.568916917,0.347979784,0.311710954,-0.730107605,0.809930801,0.323205322,0.36170423,-0.553110421,0.565017939,0.570838094,0.323914558,0.011810881,0.999007404,0.565234423,0.344038814,-0.012094975,0.999609411,0.658162117,0.32725668,0.193497077,0.376369953,0.641139388,0.337801546,0.011257132,0.738201916,0.729404211,0.352717549,0.427355468,0.675450087,0.707509875,0.345091313,0.18784374,0.844323397,0.735067785,0.362425238,0.446554482,0.631251335,0.713498056,0.346822768,0.203142613,0.726440966,0.763953984,0.334678471,0.356273144,0.693772912,0.740612566,0.338959485,0.101131879,0.822010398
T Pose,0.490835428,0.255688816,-0.670045018,0.999927044,0.499761045,0.245237321,-0.660456061,0.999938786,0.503213286,0.244653001,-0.660391271,0.999898016,0.506995499,0.244062558,-0.660534084,0.999892533,0.491184533,0.245548025,-0.661291659,0.999946237,0.489031971,0.245684147,-0.661390841,0.99990797,0.486760944,0.245895356,-0.661319315,0.999932349,0.512287259,0.247808456,-0.561690152,0.99955672,0.488709301,0.252923965,-0.565865397,0.999872625,0.498356432,0.267593652,-0.628085196,0.99814564,0.485907257,0.26857999,-0.629817486,0.999367714,0.501754045,0.290994018,-0.503679872,0.972931862,0.450326115,0.305214316,-0.425987899,0.993125319,0.432992995,0.310708433,-0.615740657,0.947455525,0.369282454,0.349796504,-0.451634169,0.543574452,0.351089776,0.312854409,-0.725726962,0.906491399,0.280329645,0.370066971,-0.497299194,0.629956961,0.334949672,0.316210657,-0.785072505,0.852213264,0.257778406,0.380642235,-0.52498734,0.600763261,0.32924813,0.31428349,-0.774689674,0.841170192,0.261941433,0.379122108,-0.546923339,0.593917012,0.335189313,0.311741441,-0.729339838,0.807620406,0.271190435,0.377517015,-0.510761857,0.59161675,0.549190342,0.325862616,-0.022664549,0.999026299,0.532388568,0.344123334,0.022484969,0.999555588,0.638930023,0.344177872,0.041279182,0.388172328,0.623862505,0.349224687,0.108026326,0.690150917,0.72435838,0.352025002,0.20062992,0.666811705,0.703581393,0.352258861,0.284174979,0.797189415,0.732535541,0.352996796,0.212586641,0.622608185,0.711507618,0.350800544,0.300224841,0.687374413,0.762247205,0.340488315,0.12915118,0.67835319,0.740613997,0.349450469,0.227436736,0.776771367
T Pose,0.493818194,0.252948642,-0.569643021,0.999901295,0.498710692,0.24401401,-0.563270628,0.999916196,0.501184046,0.243484527,-0.563265204,0.999867976,0.503639877,0.242848545,-0.563383162,0.999867558,0.493135154,0.245535344,-0.560457289,0.999916613,0.491893381,0.246367022,-0.560542226,0.999863505,0.490581453,0.247293234,-0.560526729,0.999898136,0.509759188,0.248352438,-0.473641008,0.999496698,0.492965788,0.256644756,-0.463180929,0.999801219,0.502630889,0.263109744,-0.531219363,0.998009682,0.494945943,0.2666215,-0.528522611,0.999224901,0.502831519,0.299371421,-0.424125671,0.974734485,0.495060861,0.299499094,-0.334134012,0.992909133,0.437316835,0.320896834,-0.51742363,0.946940899,0.443564028,0.334896505,-0.330718547,0.535779297,0.370416999,0.320395052,-0.63403666,0.902731359,0.380274385,0.357469827,-0.392795146,0.61573118,0.354763418,0.321833342,-0.692491889,0.847302496,0.365464926,0.357999384,-0.421863079,0.58547169,0.356036812,0.319085062,-0.6878829,0.836727321,0.362940401,0.361687243,-0.448521525,0.579146981,0.362584591,0.318476081,-0.638940096,0.802513182,0.367841601,0.363339245,-0.407971442,0.576112986,0.592422009,0.332609683,-0.003119064,0.998942077,0.589742243,0.338187844,0.002923338,0.999385953,0.658389986,0.329979032,0.13380377,0.384668022,0.64969331,0.34528026,0.131464764,0.685001075,0.722156048,0.348797113,0.339707017,0.661260784,0.72401619,0.357597172,0.363935173,0.793858051,0.731605232,0.361300737,0.356993228,0.625192165,0.72825098,0.365097821,0.385509968,0.689962685,0.751803398,0.335414618,0.280076057,0.677236676,0.754366159,0.341056317,0.316003889,0.770153761
T Pose,0.493411213,0.252931267,-0.604939103,0.999909282,0.498402268,0.243575126,-0.593028903,0.99992317,0.501024306,0.242739365,-0.592996776,0.999878645,0.503587067,0.241800621,-0.593130589,0.999878466,0.492031246,0.245539904,-0.590277016,0.999923289,0.490278006,0.246417969,-0.590377629,0.999874234,0.488242805,0.247425556,-0.590314031,0.999906301,0.509778798,0.245897368,-0.487873077,0.999539554,0.490512311,0.256458014,-0.477195799,0.999817312,0.502597034,0.262951553,-0.561800659,0.998179674,0.493004024,0.26709637,-0.559118688,0.999285042,0.507793307,0.293390483,-0.437622726,0.976159871,0.48374328,0.299693555,-0.346675098,0.993047237,0.438525379,0.300188661,-0.555146098,0.948388398,0.411888063,0.333376557,-0.368557304,0.541164517,0.369676262,0.293119639,-0.666300476,0.898861587,0.343081057,0.356687129,-0.43620044,0.613161623,0.354428709,0.292935282,-0.722013831,0.841364205,0.325754225,0.35795632,-0.46396932,0.580205679,0.354760289,0.292716801,-0.710989356,0.830990136,0.326745212,0.36010322,-0.485679954,0.573424757,0.360692322,0.292350382,-0.669060767,0.796649098,0.333256304,0.360749245,-0.449917704,0.572084308,0.583248019,0.329900205,-0.012516104,0.998960972,0.573583007,0.338581145,0.012309939,0.999341071,0.657275856,0.333753258,0.047542609,0.397701919,0.648042321,0.345888495,0.068504274,0.664743662,0.723206937,0.352511317,0.197716445,0.665840447,0.721247315,0.357279569,0.248526528,0.781007171,0.731703281,0.361767739,0.208645031,0.628452182,0.727175355,0.364385486,0.264120311,0.67890662,0.756897867,0.336626709,0.121563278,0.679107964,0.749696672,0.344966739,0.18173179,0.757022738
T Pose,0.494574875,0.25215438,-0.652710378,0.999913096,0.499100447,0.242029056,-0.640052676,0.999926448,0.50194329,0.240939364,-0.640023589,0.999883413,0.504833817,0.239793599,-0.640162051,0.999883354,0.492053986,0.244935185,-0.639409542,0.99992615,0.490260988,0.246077433,-0.639515162,0.999878764,0.488007158,0.247242451,-0.639483333,0.999909461,0.510551572,0.243873984,-0.524967194,0.999563634,0.48971352,0.255032003,-0.524500012,0.999825954,0.503647447,0.261959195,-0.605595648,0.998288274,0.493049532,0.266958565,-0.605893254,0.999313116,0.510650158,0.285684913,-0.462639153,0.975911021,0.479891628,0.300718457,-0.383240968,0.99259007,0.444173425,0.290458739,-0.592957973,0.945591867,0.408245474,0.333389282,-0.401989281,0.548531532,0.376110047,0.283458769,-0.724372268,0.892784357,0.343891203,0.358685166,-0.469768822,0.61746043,0.362656087,0.282580346,-0.782755554,0.835193634,0.326573044,0.362750858,-0.499101728,0.582489669,0.361824811,0.283976972,-0.774043858,0.82473135,0.329053432,0.362600267,-0.521636546,0.57516104,0.366844416,0.283792108,-0.728371978,0.790611506,0.335458845,0.362132937,-0.483817011,0.574789703,0.580663085,0.324112087,-0.012075096,0.998963594,0.569600403,0.33915779,0.011868088,0.999284625,0.659600019,0.341964632,0.07620506,0.40700534,0.648084521,0.354811698,0.077716425,0.650586188,0.726579845,0.357609659,0.254909188,0.665136874,0.723871589,0.357949167,0.268664151,0.769890368,0.737210453,0.366431296,0.268556356,0.632758081,0.728826106,0.364527166,0.285229355,0.671023905,0.761616886,0.337251663,0.180853814,0.676895976,0.756093919,0.344763488,0.196356654,0.745133817
T Pose,0.494492471,0.251912504,-0.623333335,0.999918163,0.499144852,0.241222546,-0.614391387,0.999931097,0.502055764,0.240373313,-0.614367306,0.999890745,0.504848897,0.239461049,-0.614476562,0.999890506,0.492257118,0.243541643,-0.611437023,0.999930263,0.490275443,0.244668573,-0.611539006,0.999885142,0.488034874,0.245552316,-0.611514688,0.99991399,0.5102005,0.243745968,-0.51718384,0.999594033,0.489828259,0.251558661,-0.505430579,0.999836624,0.50208056,0.261887729,-0.582625389,0.998413265,0.492576122,0.266492754,-0.579730928,0.999354601,0.503381193,0.287215978,-0.471331269,0.9768641,0.475872457,0.299785465,-0.370216191,0.992335796,0.425337076,0.318421274,-0.591779172,0.947666049,0.401603371,0.333399266,-0.375071466,0.554259181,0.350013703,0.320381761,-0.712560952,0.896962762,0.327778548,0.361017495,-0.438759476,0.623845816,0.333502233,0.326075405,-0.774484515,0.841032267,0.309209764,0.364544809,-0.467828929,0.587564051,0.332881302,0.323515236,-0.764608145,0.830932438,0.309680998,0.364462107,-0.49246335,0.579813242,0.339203924,0.320706695,-0.715667725,0.796426535,0.316236585,0.364004612,-0.453422874,0.579889059,0.577106178,0.324749857,-0.014601816,0.998983502,0.568190455,0.339328796,0.014415309,0.999260426,0.659646153,0.340732634,0.092133462,0.413182378,0.648121238,0.356358439,0.116052702,0.642423987,0.726639509,0.357650787,0.281742394,0.666900337,0.724072039,0.357671738,0.274570376,0.763084233,0.737806261,0.366106719,0.296980321,0.639726341,0.728819847,0.362903774,0.298426569,0.663698912,0.762732029,0.338334084,0.21346128,0.680256605,0.757943571,0.344623089,0.237068802,0.736052334
T Pose,0.499000132,0.25671199,-0.657975376,0.999891639,0.504356444,0.241630942,-0.647727013,0.999913514,0.506907701,0.240322918,-0.647688866,0.999861598,0.509629726,0.238381907,-0.647819936,0.999862731,0.497198999,0.245936885,-0.649540424,0.999911964,0.495491087,0.246837169,-0.649657607,0.999850988,0.493496716,0.247874916,-0.649670243,0.999889791,0.511418819,0.241836578,-0.532704949,0.999516726,0.492299616,0.255111963,-0.543356061,0.999810994,0.505881131,0.263291538,-0.608854234,0.998272777,0.495672166,0.268624097,-0.612385929,0.999273658,0.505422831,0.266510814,-0.449270666,0.977066457,0.482550859,0.30337128,-0.397287279,0.992165327,0.44793877,0.283303618,-0.550208807,0.944528043,0.414744198,0.347955823,-0.402048916,0.578903854,0.382855952,0.281223208,-0.660354018,0.894850075,0.355054259,0.380063206,-0.461501598,0.63815856,0.367100269,0.281955719,-0.708768964,0.839740932,0.335921645,0.386080861,-0.491656691,0.599217772,0.366132438,0.282303244,-0.706467211,0.82939291,0.339108765,0.383807361,-0.513013005,0.592822969,0.372426033,0.281762719,-0.665348887,0.796188295,0.346237421,0.381689578,-0.475104153,0.593208373,0.568212509,0.316301256,0.003520869,0.998947799,0.557281137,0.348358572,-0.003699427,0.999221206,0.654601932,0.332993984,0.056678079,0.414725095,0.634041488,0.365898937,-0.052662157,0.639277577,0.727270126,0.35754326,0.217921689,0.661204755,0.721048772,0.356654614,0.085980423,0.756294668,0.73456037,0.363599747,0.228295237,0.633501053,0.709493756,0.362180173,0.097191527,0.650010645,0.761851668,0.341320485,0.130372047,0.672192574,0.750059962,0.350196958,-0.004822969,0.734709501
T Pose,0.495047033,0.253062725,-0.579031885,0.99985373,0.501131058,0.239877462,-0.570583463,0.999883592,0.503706455,0.238735899,-0.57059139,0.999818206,0.506931722,0.237767503,-0.570718646,0.999823511,0.494293928,0.242486715,-0.56775856,0.999876738,0.492393255,0.24326086,-0.567839861,0.99979043,0.489957571,0.244043633,-0.567833126,0.99984169,0.510280252,0.24199678,-0.475137413,0.999416173,0.491535962,0.249559402,-0.464990079,0.999745131,0.503406763,0.262256175,-0.539112568,0.998068988,0.493496835,0.266558737,-0.536497533,0.99911648,0.499800295,0.291128635,-0.419750988,0.977890968,0.488855183,0.295193285,-0.325922668,0.991528809,0.433888525,0.316153198,-0.517657876,0.945528805,0.43505764,0.33085072,-0.318554759,0.571074128,0.370665967,0.307801068,-0.625796318,0.895813465,0.375564933,0.35124287,-0.375625193,0.629909635,0.35592863,0.306817204,-0.67863971,0.841614962,0.361224711,0.351873666,-0.399123639,0.591819525,0.357648462,0.304406166,-0.674246013,0.831083715,0.359916806,0.353284538,-0.424675852,0.585568786,0.363795727,0.304338276,-0.630055785,0.79794991,0.364563257,0.354571342,-0.389876038,0.585142136,0.576008618,0.323009521,-0.003942145,0.998890758,0.572301447,0.338543773,0.003814003,0.99907589,0.658614874,0.337622941,0.017515231,0.405648023,0.652710497,0.356696337,0.023373505,0.62786752,0.724797606,0.353815436,0.142757997,0.652947664,0.724778652,0.357474804,0.167242751,0.74449712,0.7468611,0.366045624,0.149802625,0.631754696,0.733072817,0.367669493,0.17783232,0.643247426,0.762110651,0.335630327,0.050126988,0.665654898,0.763716877,0.346048713,0.082912385,0.722540498
T Pose,0.504849136,0.248070881,-0.718586087,0.999851406,0.509284854,0.234400645,-0.707966268,0.999884129,0.510971844,0.233421743,-0.707911789,0.999817252,0.512562037,0.23217839,-0.70802629,0.999823391,0.502885461,0.237928078,-0.713440776,0.999877572,0.500162423,0.238737836,-0.713555992,0.999791086,0.498078406,0.239756197,-0.713546038,0.999843478,0.510723472,0.237470239,-0.588777542,0.99941963,0.495118469,0.247525826,-0.615552306,0.99975419,0.507412493,0.257151723,-0.667273521,0.998068154,0.499233484,0.261596203,-0.675541461,0.999095023,0.491960615,0.263304859,-0.502455056,0.977109194,0.468977988,0.309416592,-0.4712134,0.991087139,0.425482333,0.281936735,-0.616762698,0.929002285,0.394486666,0.348962933,-0.498063028,0.598704994,0.348846376,0.284620136,-0.760756254,0.884188294,0.312370628,0.375445724,-0.55810976,0.654365242,0.331742972,0.287751973,-0.820209622,0.830656767,0.288205147,0.378996164,-0.594994128,0.614920616,0.329800546,0.289658099,-0.815296292,0.81998837,0.290048033,0.378112167,-0.615385711,0.60946089,0.336396873,0.288318932,-0.766724288,0.788701355,0.298461288,0.376583636,-0.571751177,0.608525097,0.555771172,0.312148243,0.00715597,0.998929501,0.548067689,0.348463476,-0.007368633,0.999096811,0.647666037,0.332432628,0.063295864,0.403730392,0.636214316,0.361827582,0.02846978,0.613895893,0.720299125,0.352205545,0.221376568,0.643706977,0.716798306,0.363935888,0.203259274,0.729948461,0.738514483,0.366518825,0.231771022,0.618843138,0.723142207,0.361641079,0.21813646,0.624780536,0.759757698,0.341689765,0.129780486,0.658679247,0.760082126,0.345903337,0.119831964,0.713903904
T Pose,0.505602419,0.249695539,-0.759844542,0.999848366,0.506772697,0.236958593,-0.750376284,0.999883354,0.508867919,0.235807478,-0.750315547,0.999815643,0.510827839,0.234587878,-0.75043714,0.999821186,0.499376476,0.239949256,-0.755392909,0.999877274,0.496681273,0.240997761,-0.755445182,0.999788046,0.493886411,0.242310345,-0.755417585,0.999840617,0.511404276,0.23773545,-0.628666043,0.999432504,0.492602408,0.248776183,-0.654156089,0.999761164,0.510865808,0.257584006,-0.707533002,0.998112977,0.502084434,0.262679785,-0.715326488,0.999098599,0.490890592,0.271329314,-0.533636212,0.976312101,0.464991152,0.304833621,-0.491912693,0.989860117,0.421885788,0.298133165,-0.654667258,0.913366139,0.38956219,0.337870866,-0.526605546,0.614867926,0.348477662,0.295664698,-0.807408154,0.880311728,0.309467167,0.360627323,-0.602825761,0.671475589,0.332447648,0.296944708,-0.871408284,0.829556942,0.285898805,0.363578171,-0.641451538,0.63294971,0.33065182,0.300036013,-0.865746617,0.818808198,0.289297104,0.363459289,-0.663725019,0.627401412,0.337046742,0.299053013,-0.813009083,0.78903234,0.297237545,0.362180293,-0.617634773,0.626398325,0.53961879,0.305434436,0.013689551,0.998973727,0.525329709,0.333358973,-0.013742072,0.999120951,0.642521262,0.327315271,0.093649007,0.433952212,0.606491864,0.354487807,0.003902527,0.615372002,0.723350942,0.35879758,0.280312836,0.665507913,0.680071712,0.356049836,0.190092027,0.735213757,0.733538449,0.384631902,0.293363035,0.636842191,0.685486674,0.354759306,0.204813793,0.626533389,0.767491221,0.348480284,0.185125262,0.675571561,0.717150867,0.356772721,0.091661163,0.718359411
